,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
79,C2_NaCRRI_CET_GWAS_2019_118_5_Root1_image2_1_2020-10-14-09-49-00,NA,1680075,NA,1692751.5,NA,0.992511305,NA,5059.143682,NA,1371,NA,1557,NA,11203,NA,85,NA,1572.644897,NA,1362.750854,NA,179.3319092,NA,0.499117408,NA,NA,NA
80,C2_NaCRRI_CET_GWAS_2019_118_5_Root1_image3_1_2020-10-14-09-49-13,NA,1623631,NA,1635790.5,NA,0.992566591,NA,4914.606666,NA,1492,NA,1405,NA,10618,NA,88,NA,1492.212402,NA,1386.802612,NA,86.62953186,NA,0.369174584,NA,NA,NA
81,C2_NaCRRI_CET_GWAS_2019_118_5_Root2_image1_1_2020-10-14-09-49-43,8511,2483288,10243,2539250.5,0.830908913,0.977961016,452.291411,6651.99353,104,1631,133,1872,917,13219,14,84,121.1903992,1893.585938,95.75574493,1686.920044,3.716328144,5.601060867,0.61294382,0.454277877,0.342731089,0.004124773,0.064000475
82,C2_NaCRRI_CET_GWAS_2019_118_5_Root2_image2_1_2020-10-14-09-50-01,NA,1694141,NA,1710801.5,NA,0.990261582,NA,5079.895989,NA,1482,NA,1496,NA,10159,NA,81,NA,1512.672607,NA,1425.318237,NA,136.9366455,NA,0.334905743,NA,NA,NA
83,C2_NaCRRI_CET_GWAS_2019_118_5_Root2_image3_1_2020-10-14-09-50-14,NA,1218133,NA,1232994.5,NA,0.987946824,NA,4422.72024,NA,1283,NA,1223,NA,9174,NA,71,NA,1286.120483,NA,1207.366821,NA,105.8006516,NA,0.344554007,NA,NA,NA
84,C2_NaCRRI_CET_GWAS_2019_118_5_Root3_image1_1_2020-10-14-09-50-32,NA,2596576,NA,2622880.5,NA,0.989971141,NA,6311.760994,NA,1853,NA,1748,NA,13291,NA,71,NA,1902.366943,NA,1738.703613,NA,106.7881165,NA,0.405784962,NA,NA,NA
85,C2_NaCRRI_CET_GWAS_2019_118_5_Root3_image2_1_2020-10-14-09-51-10,NA,1056690,NA,1065273.5,NA,0.991942445,NA,4006.702995,NA,1190,NA,1186,NA,8432,NA,87,NA,1170.974487,NA,1155.388428,NA,121.8050079,NA,0.162614574,NA,NA,NA
86,C2_NaCRRI_CET_GWAS_2019_118_5_Root3_image3_1_2020-10-14-09-51-31,5529,1381428,31105,1390180.5,0.177752773,0.993704055,1395.290535,4535.171032,566,1388,284,1270,3061,9605,24,93,862.1390381,1389.991943,313.6146545,1265.527954,55.57740402,91.58364868,0.931491367,0.413603643,0.400238015,0.022516555,0.620247507
87,C2_NaCRRI_CET_GWAS_2019_118_5_Root4_image1_1_2020-10-14-09-51-53,3797,1404039,5199.5,1418291.5,0.730262525,0.989950937,433.6223643,4663.957829,65,1300,102,1384,729,9476,12,74,98.4407196,1417.292236,59.32143402,1268.410156,8.428078651,25.91525841,0.798035279,0.446160121,0.270434083,0.003703245,0.069456896
88,C2_NaCRRI_CET_GWAS_2019_118_5_Root4_image2_1_2020-10-14-09-52-14,28769,1776191,69005,1804642.5,0.416911818,0.984234274,1753.576036,5281.653348,189,1500,494,1505,3585,10478,20,76,494.758606,1521.234253,171.557312,1487.664185,174.1218567,154.8464661,0.937957764,0.208921811,1.619701935,0.038849989,0.325234989
