,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
26,C2_Serere_GWAS_CET_2019_100_3_Root1_image2_1_2020-11-14-08-30-49,17875,1067036,65430.5,2015363.5,0.273190637,0.529450891,2606.872858,17136.53378,497,2337,310,1396,4042,14968,21,33,506.8451233,2137.425781,141.9129333,1260.404419,57.57648087,97.26544952,0.96000213,0.80763453,1.675201212,0.061319862,0.237128759
27,C2_Serere_GWAS_CET_2019_100_3_Root1_image3_1_2020-11-14-08-30-59,2965,704772,3316.5,707577,0.894014775,0.996035767,246.4091612,3184.882585,69,882,76,1006,521,7034,19,93,75.83152771,1018.582336,62.00188446,879.6640625,161.9697418,173.5033264,0.575748661,0.504150081,0.420703433,0.004705777,0.074448108
28,C2_Serere_GWAS_CET_2019_100_3_Root2_image1_1_2020-11-14-08-31-18,125165,1856907,716024,2992330,0.174805593,0.620555554,11266.92746,14275.43576,930,2752,1372,1618,8390,16614,22,31,1601.949829,2566.368408,1305.282837,1482.0177,151.2878265,86.02805328,0.579729765,0.816407238,6.740509891,0.385600356,0.624208833
29,C2_Serere_GWAS_CET_2019_100_3_Root2_image2_1_2020-11-14-08-31-29,NA,566657,NA,622619.5,NA,0.910117656,NA,3914.272413,NA,969,NA,864,NA,6966,NA,54,NA,1008.08728,NA,735.5528564,NA,55.48766327,NA,0.683818706,NA,NA,NA
30,C2_Serere_GWAS_CET_2019_100_3_Root2_image3_1_2020-11-14-08-31-40,27134,1159347,434361,2364303.5,0.062468776,0.490354559,5074.434868,17294.91854,684,2090,1071,1608,7105,14407,20,42,1004.108459,1921.625854,684.7438354,1493.583374,175.2381439,78.46026611,0.731406157,0.629192099,2.340455446,0.374660046,0.522530677
31,C2_Serere_GWAS_CET_2019_100_4_Root1_image1_1_2020-11-14-08-32-03,12023,901725,54596.5,1987695,0.220215582,0.453653604,1721.089993,13552.25315,289,2034,319,1526,2194,12111,19,51,423.2970581,1758.63208,271.8442078,1592.007568,16.70216751,108.0274734,0.766531507,0.4248722,1.333333333,0.06054673,0.240696768
32,C2_Serere_GWAS_CET_2019_100_4_Root1_image2_1_2020-11-14-08-32-13,91905,1666395,1883236,3142650.5,0.048801637,0.530251455,26374.36194,18792.70488,2291,2562,1341,1583,14957,19120,28,23,11409.32422,2204.002686,3813.282959,1804.285767,169.3226166,103.2643509,0.942493266,0.574306366,5.515198977,1.130125811,5.176638075
33,C2_Serere_GWAS_CET_2019_100_4_Root1_image3_1_2020-11-14-08-32-23,NA,604150,NA,648670,NA,0.931367259,NA,3593.794272,NA,848,NA,1016,NA,7068,NA,67,NA,987.4266357,NA,801.0342407,NA,28.72031593,NA,0.584721386,NA,NA,NA
34,C2_Serere_GWAS_CET_2019_100_4_Root2_image1_1_2020-11-14-08-32-36,18765,654369,45384,661106.5,0.413471708,0.989808752,2281.4748,3133.201346,274,901,241,945,1964,6537,19,70,241.1960754,941.3164673,201.5929718,885.5050049,83.12953186,11.30101681,0.54902587,0.339214258,2.86764807,0.069355364,0.256232716
35,C2_Serere_GWAS_CET_2019_100_4_Root2_image2_1_2020-11-14-08-32-49,3501,515580,3833.5,538421,0.913264641,0.957577806,259.6223643,3082.473424,83,849,66,812,593,6351,22,79,85.50884247,862.0004883,60.99320984,780.0966797,107.5247726,63.03430176,0.700861783,0.425445528,0.67904108,0.007435316,0.099198137
