"","Image.ID","area_necrosis","area_total_cross_section","convex_hull_area_necrosis","convex_hull_area_total_cross_section","solidity_necrosis","solidity_total_cross_section","perimeter_necrosis","perimeter_total_cross_section","width_necrosis","width_total_cross_section","height_necrosis","height_total_cross_section","longest_path_necrosis","longest_path_total_cross_section","convex_hull_vertices_necrosis","convex_hull_vertices_total_cross_section","ellipse_major_axis_necrosis","ellipse_major_axis_total_cross_section","ellipse_minor_axis_necrosis","ellipse_minor_axis_total_cross_section","ellipse_angle_necrosis","ellipse_angle_total_cross_section","ellipse_eccentricity_necrosis","ellipse_eccentricity_total_cross_section","percent_necrosis","necrotic_area_fraction","necrotic_width_fraction"
"368","2020_C2_CET_GWAS_Serere_216_10_Root2_image1_1_2021-11-15-09-19-33",NA,126877,NA,140069.5,NA,0.905814613459747,NA,1779.62654018402,NA,393,NA,474,NA,3253,NA,40,NA,472.587524414062,NA,357.930969238281,NA,151.962493896484,NA,0.652967920939325,NA,NA,NA
"369","2020_C2_CET_GWAS_Serere_216_10_Root2_image2_1_2021-11-15-09-19-43",NA,169234,NA,203666,NA,0.830938890143667,NA,2595.74132597446,NA,499,NA,561,NA,4729,NA,37,NA,621.637268066406,NA,373.291351318359,NA,143.687210083008,NA,0.799626964264209,NA,NA,NA
"370","2020_C2_CET_GWAS_Serere_216_10_Root2_image3_1_2021-11-15-09-19-53",NA,154013,NA,183995,NA,0.837049919834778,NA,2358.95749342442,NA,381,NA,692,NA,4976,NA,22,NA,645.5888671875,NA,385.022583007812,NA,14.4912128448486,NA,0.802695002023815,NA,NA,NA
"371","2020_C2_CET_GWAS_Serere_216_4_Root1_image1_1_2021-11-15-09-15-29",NA,219775,NA,240660.5,NA,0.91321592035253,NA,2130.81535804272,NA,500,NA,573,NA,4493,NA,22,NA,634.243957519531,NA,504.556427001953,NA,5.5421462059021,NA,0.605921795200786,NA,NA,NA
"372","2020_C2_CET_GWAS_Serere_216_4_Root1_image2_1_2021-11-15-09-15-42",NA,217432,NA,238882.5,NA,0.910204807802999,NA,2278.08743619919,NA,496,NA,558,NA,4452,NA,18,NA,642.298889160156,NA,488.890930175781,NA,13.8966865539551,NA,0.648566509530693,NA,NA,NA
"373","2020_C2_CET_GWAS_Serere_216_4_Root1_image3_1_2021-11-15-09-15-51",NA,212022,NA,233854.5,NA,0.906640667594594,NA,2272.37170696259,NA,501,NA,577,NA,4447,NA,21,NA,658.703186035156,NA,476.449157714844,NA,16.2667369842529,NA,0.690519391472262,NA,NA,NA
"374","2020_C2_CET_GWAS_Serere_216_8_Root3_image2_1_2021-11-15-09-17-26",NA,117905,NA,132603.5,NA,0.889154509496356,NA,1596.2367118597,NA,352,NA,522,NA,3788,NA,41,NA,526.537414550781,NA,327.979553222656,NA,3.94600081443787,NA,0.782302380833134,NA,NA,NA
"375","2020_C2_CET_GWAS_Serere_217_10_Root1_image1_1_2021-11-15-09-28-08",4149,301685,6711,325406.5,0.618238712561466,0.927101947871355,587.906635046005,2904.68036293983,141,486,98,800,1191,5883,14,23,150.448638916016,818.564819335938,47.6154670715332,515.886108398438,120.492874145508,7.46920728683472,0.948595896698266,0.776406506835638,1.37527553574092,0.0222450569302418,0.183795632749117
"376","2020_C2_CET_GWAS_Serere_217_10_Root1_image2_1_2021-11-15-09-28-19",NA,276605,NA,297913,NA,0.928475763058343,NA,3081.49154508114,NA,460,NA,800,NA,5886,NA,18,NA,875.593322753906,NA,448.946716308594,NA,12.2651491165161,NA,0.85854735045149,NA,NA,NA
"377","2020_C2_CET_GWAS_Serere_217_10_Root1_image3_1_2021-11-15-09-28-29",NA,278799,NA,312829,NA,0.891218525136736,NA,3223.39103984833,NA,468,NA,800,NA,5891,NA,16,NA,866.186096191406,NA,461.549652099609,NA,10.2228899002075,NA,0.846207974480136,NA,NA,NA
